customer_id,first_name,last_name,email,phone,city,age,registration_date
CUST00024,Katarzyna,Wiśniewski,katarzyna.wiśniewski23@example.com,48515335328,Gdańsk,,
CUST00025,Piotr,Kowalski,piotr.kowalski24@onet.pl,,Kraków,64,
CUST00026,Marek,Kowalski,marek.kowalski25@wp.pl,,Łódź,NULL,NULL
CUST00027,Anna,Zieliński,anna.zieliński26@wp.pl,NULL,Łódź,NULL,
CUST00028,Tomasz,Kaczmarek,tomasz.kaczmarek27@onet.pl,,Warszawa,52,2018-02-15
CUST00029,Tomasz,Wójcik,tomasz.wójcik28@wp.pl,NULL,,NULL,18-12-2018
CUST00030,Jan,Mazur,jan.mazur29@example.com,,Łódź,,NULL
CUST00031,Agnieszka,Zieliński,agnieszka.zieliński30@example.com,,Warszawa,27,
CUST00032,Anna,Wiśniewski,anna.wiśniewski31@example.com,,Kraków,,2020-10-05
CUST00033,Marek,Mazur,marek.mazur32@example.com,48882675233,Poznań,unknown,
CUST00034,Agnieszka,Nowak,agnieszka.nowak33@wp.pl,,Warszawa,NULL,2024-06-09
CUST00035,Magdalena,Kaczmarek,magdalena.kaczmarek34@wp.pl,,Gdańsk,NULL,2017-06-30
CUST00036,Agnieszka,Kaczmarek,agnieszka.kaczmarek35@wp.pl,NULL,Kraków,unknown,16-06-2025
CUST00037,Agnieszka,Kaczmarek,agnieszka.kaczmarek36@gmail.com,NULL,NULL,56,
CUST00038,Marek,Zieliński,marek.zieliński37@example.com,48525889236,Warszawa,unknown,16-07-2021
CUST00039,Agnieszka,Wiśniewski,agnieszka.wiśniewski38@example.com,48870662028,Łódź,,NULL
CUST00040,Tomasz,Zieliński,tomasz.zieliński39@example.com,,Poznań,NULL,01-07-2020
CUST00041,Anna,Wiśniewski,anna.wiśniewski40@gmail.com,NULL,Poznań,unknown,
CUST00042,Anna,Kaczmarek,anna.kaczmarek41@wp.pl,48725019421,NULL,53,2019-05-23
CUST00043,Agnieszka,Kaczmarek,agnieszka.kaczmarek42@onet.pl,NULL,Łódź,,NULL
CUST00044,Marek,Wiśniewski,marek.wiśniewski43@example.com,NULL,,NULL,NULL
CUST00045,Tomasz,Zieliński,tomasz.zieliński44@onet.pl,,Łódź,27,
CUST00046,Magdalena,Kowalski,magdalena.kowalski45@gmail.com,,Gdańsk,unknown,2024-01-21
CUST00047,Agnieszka,Zieliński,agnieszka.zieliński46@wp.pl,NULL,Wrocław,43,NULL
CUST00048,Katarzyna,Kowalski,katarzyna.kowalski47@gmail.com,,Wrocław,unknown,17-08-2016
CUST00049,Anna,Kowalski,anna.kowalski48@wp.pl,NULL,,57,
CUST00050,Magdalena,Zieliński,magdalena.zieliński49@example.com,,NULL,,
CUST00051,Piotr,Mazur,piotr.mazur50@wp.pl,,Kraków,,28-04-2015
CUST00052,Piotr,Kowalski,piotr.kowalski51@wp.pl,NULL,NULL,NULL,NULL
CUST00053,Anna,Wiśniewski,anna.wiśniewski52@wp.pl,48851122625,Wrocław,,NULL
CUST00054,Jan,Kowalski,jan.kowalski53@example.com,,Warszawa,unknown,
CUST00055,Agnieszka,Nowak,agnieszka.nowak54@gmail.com,,Gdańsk,,13-02-2019
CUST00056,Jan,Mazur,jan.mazur55@example.com,NULL,Gdańsk,87,NULL
CUST00057,Tomasz,Wójcik,tomasz.wójcik56@onet.pl,NULL,Poznań,,2015-10-22
CUST00058,Agnieszka,Wójcik,agnieszka.wójcik57@gmail.com,48646311913,Kraków,90,15-03-2016
CUST00059,Katarzyna,Nowak,katarzyna.nowak58@gmail.com,48564413313,Gdańsk,unknown,
CUST00060,Magdalena,Nowak,magdalena.nowak59@example.com,,Łódź,53,NULL
CUST00061,Katarzyna,Nowak,katarzyna.nowak60@wp.pl,,NULL,76,06-12-2020
CUST00062,Jan,Nowak,jan.nowak61@gmail.com,48567485575,Wrocław,NULL,2023-06-16
CUST00063,Katarzyna,Wójcik,katarzyna.wójcik62@gmail.com,48541102770,Kraków,,NULL
CUST00064,Magdalena,Nowak,magdalena.nowak63@example.com,,Warszawa,32,
CUST00065,Magdalena,Mazur,magdalena.mazur64@example.com,,Warszawa,26,2023-08-23
CUST00066,Piotr,Zieliński,piotr.zieliński65@onet.pl,48755963825,,,2023-12-07
CUST00067,Magdalena,Kowalski,magdalena.kowalski66@wp.pl,NULL,Łódź,NULL,NULL
CUST00068,Magdalena,Wójcik,magdalena.wójcik67@example.com,,Poznań,NULL,NULL
CUST00069,Anna,Wiśniewski,anna.wiśniewski68@gmail.com,NULL,,NULL,NULL
CUST00070,Piotr,Nowak,piotr.nowak69@onet.pl,,Wrocław,74,2016-07-18
CUST00071,Katarzyna,Kaczmarek,katarzyna.kaczmarek70@gmail.com,,Łódź,NULL,15-10-2025
CUST00072,Anna,Mazur,anna.mazur71@wp.pl,48653199538,Kraków,unknown,15-08-2022
CUST00073,Magdalena,Kowalski,magdalena.kowalski72@example.com,,Warszawa,,NULL
CUST00074,Magdalena,Wiśniewski,magdalena.wiśniewski73@gmail.com,,Gdańsk,NULL,
CUST00075,Tomasz,Mazur,tomasz.mazur74@example.com,,Warszawa,unknown,
CUST00076,Piotr,Zieliński,piotr.zieliński75@example.com,,Kraków,87,
CUST00077,Katarzyna,Nowak,katarzyna.nowak76@wp.pl,,NULL,,05-11-2021
CUST00078,Magdalena,Zieliński,magdalena.zieliński77@onet.pl,48695642306,Wrocław,unknown,NULL
CUST00079,Anna,Nowak,anna.nowak78@wp.pl,NULL,Warszawa,unknown,01-08-2019
CUST00080,Anna,Mazur,anna.mazur79@example.com,NULL,NULL,NULL,30-07-2022
CUST00081,Marek,Mazur,marek.mazur80@example.com,,NULL,,
CUST00082,Piotr,Nowak,piotr.nowak81@onet.pl,48689581203,Kraków,NULL,2017-11-02
CUST00083,Tomasz,Kaczmarek,tomasz.kaczmarek82@wp.pl,48662146864,Łódź,87,NULL
CUST00084,Tomasz,Kaczmarek,tomasz.kaczmarek83@example.com,,NULL,unknown,2017-03-26
CUST00085,Marek,Wiśniewski,marek.wiśniewski84@onet.pl,NULL,Kraków,34,2017-03-02
CUST00086,Agnieszka,Wójcik,agnieszka.wójcik85@example.com,,Łódź,NULL,
CUST00087,Magdalena,Mazur,magdalena.mazur86@example.com,NULL,Łódź,unknown,
CUST00088,Katarzyna,Zieliński,katarzyna.zieliński87@onet.pl,48830111500,Kraków,,
CUST00089,Magdalena,Wiśniewski,magdalena.wiśniewski88@onet.pl,48814959042,Warszawa,unknown,2020-05-18
CUST00090,Katarzyna,Mazur,katarzyna.mazur89@example.com,,Wrocław,NULL,NULL
CUST00091,Katarzyna,Wójcik,katarzyna.wójcik90@onet.pl,48786184423,Łódź,73,2025-08-02
CUST00092,Agnieszka,Wiśniewski,agnieszka.wiśniewski91@onet.pl,NULL,Wrocław,,
CUST00093,Magdalena,Zieliński,magdalena.zieliński92@gmail.com,,Kraków,,14-09-2025
CUST00094,Agnieszka,Kowalski,agnieszka.kowalski93@example.com,48748082723,Wrocław,unknown,31-12-2024
CUST00095,Marek,Nowak,marek.nowak94@gmail.com,NULL,,,25-07-2016
CUST00096,Tomasz,Kaczmarek,tomasz.kaczmarek95@wp.pl,48737587639,Warszawa,NULL,NULL
CUST00097,Katarzyna,Mazur,katarzyna.mazur96@wp.pl,NULL,Poznań,64,28-06-2016
CUST00098,Jan,Kaczmarek,jan.kaczmarek97@wp.pl,48811867393,,NULL,2019-03-30
CUST00099,Magdalena,Zieliński,magdalena.zieliński98@wp.pl,48836684334,Łódź,49,NULL
CUST00100,Marek,Kowalski,marek.kowalski99@onet.pl,48780449320,Warszawa,unknown,30-09-2021
CUST00101,Piotr,Wiśniewski,piotr.wiśniewski100@example.com,NULL,Kraków,unknown,10-04-2017
CUST00102,Magdalena,Mazur,magdalena.mazur101@wp.pl,48541554505,Warszawa,unknown,NULL
CUST00103,Katarzyna,Mazur,katarzyna.mazur102@example.com,,Gdańsk,,NULL
CUST00104,Jan,Mazur,jan.mazur103@example.com,,,,NULL
CUST00105,Katarzyna,Mazur,katarzyna.mazur104@wp.pl,48880455022,Gdańsk,unknown,NULL
CUST00106,Agnieszka,Wiśniewski,agnieszka.wiśniewski105@example.com,48730561091,Łódź,NULL,
CUST00107,Katarzyna,Wiśniewski,katarzyna.wiśniewski106@wp.pl,NULL,,37,19-08-2025
CUST00108,Agnieszka,Kowalski,agnieszka.kowalski107@example.com,NULL,Łódź,60,
CUST00109,Magdalena,Kaczmarek,magdalena.kaczmarek108@example.com,NULL,Gdańsk,NULL,2016-05-12
CUST00110,Jan,Kowalski,jan.kowalski109@example.com,,Wrocław,NULL,13-02-2022
CUST00111,Jan,Kowalski,jan.kowalski110@onet.pl,NULL,NULL,81,
CUST00112,Magdalena,Kaczmarek,magdalena.kaczmarek111@wp.pl,48502544636,Łódź,unknown,19-07-2021
CUST00113,Agnieszka,Wiśniewski,agnieszka.wiśniewski112@example.com,48566778965,Wrocław,NULL,NULL
CUST00114,Katarzyna,Wójcik,katarzyna.wójcik113@wp.pl,,Kraków,NULL,2018-03-06
CUST00115,Magdalena,Mazur,magdalena.mazur114@wp.pl,,Wrocław,,
CUST00116,Jan,Kowalski,jan.kowalski115@onet.pl,NULL,Wrocław,unknown,
CUST00117,Katarzyna,Wójcik,katarzyna.wójcik116@onet.pl,NULL,,,2025-01-09
CUST00118,Piotr,Kowalski,piotr.kowalski117@onet.pl,48650065182,Kraków,unknown,24-03-2021
CUST00119,Piotr,Kowalski,piotr.kowalski118@onet.pl,48790234557,Poznań,,
CUST00120,Agnieszka,Kaczmarek,agnieszka.kaczmarek119@onet.pl,NULL,,,
CUST00121,Agnieszka,Wiśniewski,agnieszka.wiśniewski120@onet.pl,,Poznań,35,2018-04-17
CUST00122,Marek,Mazur,marek.mazur121@onet.pl,48737305946,Łódź,27,NULL
CUST00123,Katarzyna,Kowalski,katarzyna.kowalski122@wp.pl,NULL,,NULL,02-11-2020
CUST00124,Tomasz,Mazur,tomasz.mazur123@wp.pl,48670996603,Gdańsk,unknown,NULL
CUST00125,Jan,Mazur,jan.mazur124@wp.pl,48593676430,NULL,41,
CUST00126,Agnieszka,Wójcik,agnieszka.wójcik125@wp.pl,48554099796,Warszawa,NULL,02-12-2019
CUST00127,Agnieszka,Kowalski,agnieszka.kowalski126@example.com,48541250960,Łódź,unknown,2023-03-19
CUST00128,Tomasz,Wójcik,tomasz.wójcik127@wp.pl,,Warszawa,NULL,
CUST00129,Magdalena,Mazur,magdalena.mazur128@wp.pl,,,,NULL
CUST00130,Jan,Mazur,jan.mazur129@onet.pl,48786853929,Warszawa,63,
CUST00131,Piotr,Kaczmarek,piotr.kaczmarek130@example.com,NULL,Warszawa,18,NULL
CUST00132,Tomasz,Wiśniewski,tomasz.wiśniewski131@wp.pl,NULL,,NULL,2025-01-24
CUST00133,Agnieszka,Mazur,agnieszka.mazur132@wp.pl,NULL,Gdańsk,63,2021-11-22
CUST00134,Piotr,Nowak,piotr.nowak133@onet.pl,48571096394,Gdańsk,NULL,
CUST00135,Piotr,Wójcik,piotr.wójcik134@gmail.com,NULL,Wrocław,,2017-12-08
CUST00136,Tomasz,Wiśniewski,tomasz.wiśniewski135@onet.pl,48627214854,Gdańsk,NULL,2021-11-19
CUST00137,Anna,Mazur,anna.mazur136@gmail.com,48510936490,Wrocław,,11-03-2018
CUST00138,Magdalena,Wiśniewski,magdalena.wiśniewski137@example.com,,Poznań,NULL,11-01-2020
CUST00139,Agnieszka,Nowak,agnieszka.nowak138@gmail.com,,Gdańsk,unknown,NULL
CUST00140,Magdalena,Zieliński,magdalena.zieliński139@wp.pl,NULL,Poznań,77,
CUST00141,Piotr,Nowak,piotr.nowak140@wp.pl,48838694747,Warszawa,NULL,25-08-2025
CUST00142,Tomasz,Wójcik,tomasz.wójcik141@wp.pl,,Wrocław,64,2015-11-22
CUST00143,Agnieszka,Wójcik,agnieszka.wójcik142@gmail.com,NULL,Kraków,,NULL
CUST00144,Magdalena,Wiśniewski,magdalena.wiśniewski143@onet.pl,48804717989,Wrocław,,
CUST00145,Tomasz,Nowak,tomasz.nowak144@gmail.com,48516352434,Wrocław,unknown,28-05-2024
CUST00146,Tomasz,Kowalski,tomasz.kowalski145@wp.pl,NULL,Kraków,unknown,NULL
CUST00147,Magdalena,Nowak,magdalena.nowak146@wp.pl,NULL,NULL,unknown,NULL
CUST00148,Anna,Zieliński,anna.zieliński147@wp.pl,NULL,,unknown,25-08-2025
CUST00149,Magdalena,Wiśniewski,magdalena.wiśniewski148@gmail.com,,Warszawa,NULL,NULL
CUST00150,Agnieszka,Nowak,agnieszka.nowak149@wp.pl,48691867371,NULL,NULL,
CUST00151,Marek,Mazur,marek.mazur150@onet.pl,,Poznań,NULL,19-06-2018
CUST00152,Jan,Kowalski,jan.kowalski151@onet.pl,48762408432,Warszawa,NULL,
CUST00153,Tomasz,Kowalski,tomasz.kowalski152@example.com,48637910524,Warszawa,unknown,
CUST00154,Anna,Wójcik,anna.wójcik153@onet.pl,48881693691,Warszawa,54,NULL
CUST00155,Magdalena,Wiśniewski,magdalena.wiśniewski154@example.com,,NULL,unknown,NULL
CUST00156,Magdalena,Wiśniewski,magdalena.wiśniewski155@gmail.com,NULL,Poznań,,NULL
CUST00157,Katarzyna,Kaczmarek,katarzyna.kaczmarek156@wp.pl,48741936635,Łódź,NULL,NULL
CUST00158,Piotr,Wiśniewski,piotr.wiśniewski157@gmail.com,,Łódź,NULL,24-08-2021
CUST00159,Anna,Kaczmarek,anna.kaczmarek158@onet.pl,48866481371,,23,07-12-2015
CUST00160,Marek,Nowak,marek.nowak159@example.com,,Kraków,53,16-08-2016
CUST00161,Piotr,Wójcik,piotr.wójcik160@gmail.com,,Warszawa,,24-05-2019
CUST00162,Piotr,Kowalski,piotr.kowalski161@example.com,,Łódź,NULL,2016-03-18
CUST00163,Katarzyna,Wiśniewski,katarzyna.wiśniewski162@gmail.com,,Wrocław,,
CUST00164,Tomasz,Wiśniewski,tomasz.wiśniewski163@example.com,NULL,Kraków,59,
CUST00165,Jan,Zieliński,jan.zieliński164@wp.pl,NULL,,unknown,13-05-2020
CUST00166,Katarzyna,Zieliński,katarzyna.zieliński165@gmail.com,NULL,Wrocław,19,09-12-2020
CUST00167,Anna,Nowak,anna.nowak166@onet.pl,,Kraków,unknown,NULL
CUST00168,Anna,Kaczmarek,anna.kaczmarek167@onet.pl,48600857425,Warszawa,NULL,2023-02-02
CUST00169,Anna,Mazur,anna.mazur168@example.com,48585851510,NULL,72,NULL
CUST00170,Agnieszka,Kowalski,agnieszka.kowalski169@gmail.com,NULL,Łódź,73,NULL
CUST00171,Tomasz,Nowak,tomasz.nowak170@wp.pl,,Poznań,NULL,2021-05-27
CUST00172,Jan,Kowalski,jan.kowalski171@gmail.com,48605562693,Poznań,NULL,28-06-2021
CUST00173,Marek,Zieliński,marek.zieliński172@onet.pl,,Poznań,unknown,NULL
CUST00174,Marek,Kaczmarek,marek.kaczmarek173@gmail.com,48586703155,,27,
CUST00175,Agnieszka,Kaczmarek,agnieszka.kaczmarek174@wp.pl,NULL,Poznań,,NULL
CUST00176,Anna,Nowak,anna.nowak175@example.com,48826327213,Gdańsk,,28-03-2022
CUST00177,Piotr,Wiśniewski,piotr.wiśniewski176@gmail.com,NULL,NULL,37,2023-11-09
CUST00178,Agnieszka,Nowak,agnieszka.nowak177@onet.pl,,Warszawa,,2023-03-08
CUST00179,Magdalena,Kowalski,magdalena.kowalski178@example.com,,Wrocław,NULL,2019-08-29
CUST00180,Piotr,Nowak,piotr.nowak179@gmail.com,NULL,Gdańsk,NULL,30-06-2017
CUST00181,Magdalena,Nowak,magdalena.nowak180@example.com,48790680965,Gdańsk,NULL,NULL
CUST00182,Jan,Kowalski,jan.kowalski181@wp.pl,48693175473,Łódź,unknown,24-01-2016
CUST00183,Piotr,Zieliński,piotr.zieliński182@wp.pl,48666801251,,58,NULL
CUST00184,Tomasz,Wójcik,tomasz.wójcik183@wp.pl,NULL,Gdańsk,29,
CUST00185,Jan,Zieliński,jan.zieliński184@onet.pl,48793620553,NULL,unknown,2020-10-20
CUST00186,Katarzyna,Kaczmarek,katarzyna.kaczmarek185@gmail.com,,Wrocław,,2025-03-05
CUST00187,Anna,Mazur,anna.mazur186@onet.pl,NULL,Wrocław,67,2016-07-28
CUST00188,Jan,Wójcik,jan.wójcik187@example.com,,NULL,NULL,NULL
CUST00189,Agnieszka,Nowak,agnieszka.nowak188@example.com,,Wrocław,32,2015-05-14
CUST00190,Marek,Kaczmarek,marek.kaczmarek189@example.com,48804551131,Warszawa,unknown,
CUST00191,Piotr,Nowak,piotr.nowak190@onet.pl,NULL,Wrocław,32,
CUST00192,Katarzyna,Nowak,katarzyna.nowak191@example.com,,Gdańsk,unknown,NULL
CUST00193,Jan,Zieliński,jan.zieliński192@example.com,NULL,Łódź,unknown,23-09-2020
CUST00194,Tomasz,Mazur,tomasz.mazur193@onet.pl,48663225332,Łódź,,NULL
CUST00195,Jan,Wójcik,jan.wójcik194@gmail.com,48785954636,Wrocław,unknown,24-10-2015
CUST00196,Marek,Wiśniewski,marek.wiśniewski195@onet.pl,,Warszawa,,2020-03-23
CUST00197,Anna,Nowak,anna.nowak196@onet.pl,48885207154,,NULL,2025-10-18
CUST00198,Agnieszka,Mazur,agnieszka.mazur197@wp.pl,48766830843,NULL,57,2019-10-29
CUST00199,Marek,Kowalski,marek.kowalski198@example.com,48517715204,,NULL,
CUST00200,Agnieszka,Wiśniewski,agnieszka.wiśniewski199@onet.pl,NULL,Kraków,,
CUST00201,Agnieszka,Mazur,agnieszka.mazur200@onet.pl,,,,
CUST00202,Piotr,Wójcik,piotr.wójcik201@example.com,48643941111,Wrocław,unknown,2017-11-15
CUST00203,Anna,Zieliński,anna.zieliński202@onet.pl,48854870097,Kraków,unknown,
CUST00204,Jan,Mazur,jan.mazur203@onet.pl,,Kraków,65,
CUST00205,Katarzyna,Kaczmarek,katarzyna.kaczmarek204@wp.pl,NULL,Poznań,31,NULL
CUST00206,Anna,Nowak,anna.nowak205@gmail.com,NULL,Poznań,NULL,
CUST00207,Marek,Mazur,marek.mazur206@wp.pl,,Poznań,NULL,2020-07-24
CUST00208,Katarzyna,Zieliński,katarzyna.zieliński207@gmail.com,48864070051,Łódź,NULL,
CUST00209,Marek,Zieliński,marek.zieliński208@wp.pl,NULL,NULL,72,
CUST00210,Piotr,Wiśniewski,piotr.wiśniewski209@wp.pl,NULL,Wrocław,,25-09-2022
CUST00211,Agnieszka,Mazur,agnieszka.mazur210@wp.pl,NULL,Łódź,,NULL
CUST00212,Tomasz,Nowak,tomasz.nowak211@example.com,NULL,,unknown,
CUST00213,Tomasz,Wiśniewski,tomasz.wiśniewski212@onet.pl,NULL,Warszawa,79,
CUST00214,Anna,Wójcik,anna.wójcik213@example.com,48534575882,,unknown,2018-06-21
CUST00215,Marek,Mazur,marek.mazur214@gmail.com,48802711036,NULL,86,NULL
CUST00216,Marek,Wójcik,marek.wójcik215@gmail.com,NULL,Wrocław,unknown,
CUST00217,Katarzyna,Kaczmarek,katarzyna.kaczmarek216@gmail.com,48716189768,Gdańsk,NULL,2017-04-09
CUST00218,Marek,Mazur,marek.mazur217@gmail.com,,NULL,,
CUST00219,Tomasz,Wiśniewski,tomasz.wiśniewski218@wp.pl,NULL,Kraków,,
CUST00220,Jan,Wójcik,jan.wójcik219@onet.pl,NULL,Łódź,NULL,2024-09-16
CUST00221,Piotr,Kowalski,piotr.kowalski220@onet.pl,NULL,Łódź,unknown,2025-03-07
CUST00222,Anna,Mazur,anna.mazur221@wp.pl,,Warszawa,69,NULL
CUST00223,Anna,Zieliński,anna.zieliński222@example.com,,Poznań,unknown,2017-04-25
CUST00224,Agnieszka,Kowalski,agnieszka.kowalski223@wp.pl,48603341765,Łódź,41,NULL
CUST00225,Anna,Kaczmarek,anna.kaczmarek224@onet.pl,48500476535,Gdańsk,NULL,11-06-2019
CUST00226,Magdalena,Zieliński,magdalena.zieliński225@onet.pl,,,,30-05-2017
CUST00227,Agnieszka,Mazur,agnieszka.mazur226@wp.pl,48813026225,,NULL,2026-01-25
CUST00228,Jan,Kowalski,jan.kowalski227@wp.pl,,Gdańsk,58,
CUST00229,Tomasz,Wójcik,tomasz.wójcik228@gmail.com,,Łódź,,06-04-2025
CUST00230,Agnieszka,Wójcik,agnieszka.wójcik229@gmail.com,NULL,Kraków,NULL,06-12-2017
CUST00231,Piotr,Kaczmarek,piotr.kaczmarek230@onet.pl,,Kraków,unknown,
CUST00232,Anna,Wójcik,anna.wójcik231@wp.pl,,NULL,NULL,23-07-2023
CUST00233,Agnieszka,Wiśniewski,agnieszka.wiśniewski232@gmail.com,,Łódź,76,NULL
CUST00234,Agnieszka,Mazur,agnieszka.mazur233@wp.pl,48568516455,Gdańsk,unknown,14-11-2018
CUST00235,Katarzyna,Mazur,katarzyna.mazur234@example.com,,Wrocław,NULL,14-08-2024
CUST00236,Agnieszka,Wiśniewski,agnieszka.wiśniewski235@onet.pl,,Gdańsk,,12-10-2024
CUST00237,Jan,Mazur,jan.mazur236@wp.pl,,NULL,unknown,
CUST00238,Jan,Wójcik,jan.wójcik237@wp.pl,,,NULL,2017-06-13
CUST00239,Katarzyna,Kowalski,katarzyna.kowalski238@example.com,NULL,NULL,NULL,NULL
CUST00240,Tomasz,Mazur,tomasz.mazur239@gmail.com,,Kraków,,2024-12-28
CUST00241,Anna,Kowalski,anna.kowalski240@example.com,,,31,
CUST00242,Agnieszka,Kowalski,agnieszka.kowalski241@example.com,48654534496,Warszawa,71,2020-08-20
CUST00243,Marek,Kowalski,marek.kowalski242@gmail.com,NULL,NULL,unknown,17-10-2021
CUST00244,Tomasz,Kowalski,tomasz.kowalski243@onet.pl,,Warszawa,NULL,05-05-2019
CUST00245,Piotr,Nowak,piotr.nowak244@onet.pl,NULL,Kraków,unknown,25-02-2021
CUST00246,Tomasz,Wiśniewski,tomasz.wiśniewski245@onet.pl,,Wrocław,unknown,NULL
CUST00247,Anna,Nowak,anna.nowak246@wp.pl,,,,NULL
CUST00248,Agnieszka,Mazur,agnieszka.mazur247@example.com,,Gdańsk,NULL,27-09-2023
CUST00249,Agnieszka,Kowalski,agnieszka.kowalski248@wp.pl,,Kraków,,23-04-2019
CUST00250,Anna,Wiśniewski,anna.wiśniewski249@onet.pl,,NULL,41,
CUST00251,Anna,Wójcik,anna.wójcik250@example.com,48848288582,NULL,,2016-05-27
CUST00252,Jan,Kowalski,jan.kowalski251@gmail.com,,Wrocław,unknown,26-06-2022
CUST00253,Magdalena,Kowalski,magdalena.kowalski252@example.com,,Poznań,24,2020-10-29
CUST00254,Jan,Nowak,jan.nowak253@example.com,NULL,NULL,unknown,2020-03-18
CUST00255,Piotr,Zieliński,piotr.zieliński254@wp.pl,48831520828,Warszawa,,NULL
CUST00256,Tomasz,Kaczmarek,tomasz.kaczmarek255@gmail.com,48804485058,Wrocław,,
CUST00257,Jan,Nowak,jan.nowak256@gmail.com,NULL,NULL,unknown,13-01-2018
CUST00258,Agnieszka,Zieliński,agnieszka.zieliński257@onet.pl,48838223811,Poznań,unknown,2023-06-20
CUST00259,Katarzyna,Wójcik,katarzyna.wójcik258@example.com,NULL,Łódź,NULL,14-09-2023
CUST00260,Magdalena,Wiśniewski,magdalena.wiśniewski259@onet.pl,NULL,Kraków,unknown,
CUST00261,Jan,Kowalski,jan.kowalski260@example.com,,,,12-06-2018
CUST00262,Anna,Wójcik,anna.wójcik261@wp.pl,,NULL,NULL,
CUST00263,Jan,Kowalski,jan.kowalski262@gmail.com,NULL,,NULL,09-01-2025
CUST00264,Marek,Nowak,marek.nowak263@onet.pl,NULL,NULL,,
CUST00265,Katarzyna,Mazur,katarzyna.mazur264@example.com,,Gdańsk,38,2019-12-07
CUST00266,Katarzyna,Mazur,katarzyna.mazur265@example.com,,Łódź,NULL,NULL
CUST00267,Jan,Wiśniewski,jan.wiśniewski266@onet.pl,48807184553,Łódź,unknown,NULL
CUST00268,Magdalena,Wójcik,magdalena.wójcik267@onet.pl,,Wrocław,66,14-09-2015
CUST00269,Marek,Mazur,marek.mazur268@gmail.com,NULL,Kraków,NULL,NULL
CUST00270,Marek,Kaczmarek,marek.kaczmarek269@gmail.com,NULL,Warszawa,39,2016-10-24
CUST00271,Agnieszka,Zieliński,agnieszka.zieliński270@onet.pl,,Wrocław,,NULL
CUST00272,Agnieszka,Kaczmarek,agnieszka.kaczmarek271@gmail.com,NULL,NULL,unknown,2019-06-26
CUST00273,Agnieszka,Nowak,agnieszka.nowak272@wp.pl,48672555492,Gdańsk,70,2016-05-30
CUST00274,Anna,Wójcik,anna.wójcik273@wp.pl,,Gdańsk,NULL,
CUST00275,Katarzyna,Wójcik,katarzyna.wójcik274@wp.pl,48816833750,Wrocław,,
CUST00276,Tomasz,Kowalski,tomasz.kowalski275@gmail.com,48784897474,NULL,,
CUST00277,Marek,Nowak,marek.nowak276@onet.pl,,Kraków,unknown,2025-04-19
CUST00278,Agnieszka,Wiśniewski,agnieszka.wiśniewski277@example.com,,Poznań,unknown,NULL
CUST00279,Tomasz,Kowalski,tomasz.kowalski278@gmail.com,,Kraków,,2016-02-04
CUST00280,Piotr,Mazur,piotr.mazur279@gmail.com,NULL,Kraków,36,2016-02-19
CUST00281,Piotr,Kowalski,piotr.kowalski280@gmail.com,,Warszawa,38,20-12-2015
CUST00282,Marek,Wiśniewski,marek.wiśniewski281@gmail.com,48729434813,Gdańsk,NULL,2017-07-14
